source_id,target_id,distance
11,22,101.193326
11,23,189.235547
11,24,273.171464
11,25,339.108439
11,26,385.076264
11,27,489.717103
11,28,547.951793
11,29,624.864044
11,30,137.522497
11,31,139.212667
11,32,161.263572
11,33,216.166472
11,34,297.374697
11,35,346.726671
11,36,427.392127
11,37,488.839591
11,38,575.467923
11,39,650.084309
11,40,212.181945
11,41,220.312226
11,42,241.883273
11,43,277.082177
11,44,324.562728
11,45,389.409864
11,46,479.755875
11,47,537.082100
11,48,615.251225
11,49,671.274996
11,50,309.065555
11,51,262.639978
11,52,317.514041
11,53,369.099279
11,54,388.518368
11,55,448.582240
11,56,498.748136
11,57,553.526292
11,58,611.407026
11,59,694.873851
11,60,354.815482
11,61,343.346491
11,62,402.731368
11,63,396.033377
11,64,425.828730
11,65,504.892703
11,66,550.823386
11,67,634.491341
11,68,685.098447
11,69,753.691617
11,70,422.768153
11,71,444.843004
11,72,481.484362
11,73,474.455338
11,74,534.477502
11,75,570.214132
11,76,610.343445
11,77,682.613830
11,78,729.889875
11,79,797.171208
11,80,490.632862
11,81,507.062288
11,82,534.512087
11,83,569.734743
11,84,602.419760
11,85,641.406495
11,86,669.900587
11,87,748.098346
11,88,813.192336
11,89,844.742992
11,90,586.817676
11,91,567.864857
11,92,620.173775
11,93,630.706136
11,94,683.075586
11,95,692.082228
