timestamp,node_id,node_addr,node_role,message
24.362368,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.362288970243814} dest: [255,255] package type: PROBE"
24.883991,72,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.883914641849394} dest: [255,255] package type: PROBE"
24.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.883914641849394} dest: [255,255] package type: PROBE"
24.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.883914641849394} dest: [255,255] package type: PROBE"
24.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.883914641849394} dest: [255,255] package type: PROBE"
25.081142,19,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 18, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 25.081069350935252} dest: [255,255] package type: PROBE"
25.162475,18,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 19, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 25.162402540442574} dest: [255,255] package type: PROBE"
25.283658,45,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 25.283575348149526} dest: [255,255] package type: PROBE"
25.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 25.283575348149526} dest: [255,255] package type: PROBE"
25.362325,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 25.362288970243814} dest: [255,255] package type: PROBE"
